lap,driver_idx,pitstop_prob,decision
45,7,0.0321,0
45,8,0.0320,0
45,9,0.0321,0
45,10,0.0321,0
45,11,0.0321,0
45,12,0.0321,0
45,14,0.0321,0
45,15,0.0321,0
45,16,0.0320,0
45,17,0.0321,0
45,18,0.0321,0
45,19,0.0321,0
46,0,0.0321,0
46,1,0.0321,0
46,2,0.0321,0
46,3,0.0321,0
46,4,0.0321,0
46,5,0.0321,0
46,6,0.0321,0
46,7,0.0321,0
46,8,0.0320,0
46,9,0.0321,0
46,10,0.0321,0
46,11,0.0321,0
46,12,0.0321,0
46,14,0.0321,0
46,15,0.0321,0
46,16,0.0321,0
46,17,0.0321,0
46,18,0.0321,0
46,19,0.0321,0
47,0,0.0321,0
47,1,0.0321,0
47,2,0.0321,0
47,3,0.0321,0
47,4,0.0321,0
47,5,0.0321,0
47,6,0.0321,0
47,7,0.0321,0
47,8,0.0321,0
47,9,0.0321,0
47,10,0.0321,0
47,11,0.0321,0
47,12,0.0321,0
47,14,0.0321,0
47,15,0.0321,0
47,16,0.0321,0
47,17,0.0321,0
47,18,0.0321,0
47,19,0.0321,0
48,0,0.0321,0
48,1,0.0321,0
48,2,0.0321,0
48,3,0.0321,0
48,4,0.0321,0
48,5,0.0321,0
48,6,0.0321,0
48,7,0.0322,0
48,8,0.0321,0
48,9,0.0321,0
48,10,0.0321,0
48,11,0.0321,0
48,12,0.0321,0
48,14,0.0321,0
48,15,0.0321,0
48,16,0.0321,0
48,17,0.0321,0
48,18,0.0321,0
48,19,0.0321,0
49,0,0.0321,0
49,1,0.0321,0
49,2,0.0321,0
49,3,0.0321,0
49,4,0.0321,0
49,5,0.0321,0
49,6,0.0321,0
49,7,0.0322,0
49,8,0.0321,0
49,9,0.0321,0
49,10,0.0321,0
49,11,0.0321,0
49,12,0.0321,0
49,14,0.0321,0
49,15,0.0321,0
49,16,0.0321,0
49,17,0.0321,0
49,18,0.0321,0
49,19,0.0321,0
50,0,0.0321,0
50,1,0.0321,0
50,2,0.0321,0
50,3,0.0321,0
50,4,0.0322,0
50,5,0.0322,0
50,6,0.0321,0
50,7,0.0322,0
50,8,0.0321,0
50,9,0.0321,0
50,10,0.0322,0
50,11,0.0321,0
50,12,0.0322,0
50,14,0.0321,0
50,15,0.0321,0
50,16,0.0321,0
50,17,0.0321,0
50,18,0.0321,0
50,19,0.0321,0
51,0,0.0321,0
51,1,0.0321,0
51,2,0.0322,0
51,3,0.0321,0
51,4,0.0322,0
51,5,0.0322,0
51,6,0.0322,0
51,7,0.0323,0
51,8,0.0321,0
51,9,0.0321,0
51,10,0.0322,0
51,11,0.0321,0
51,12,0.0322,0
51,14,0.0323,0
51,15,0.0322,0
51,16,0.0321,0
51,17,0.0322,0
51,18,0.0321,0
51,19,0.0321,0
52,0,0.0321,0
52,1,0.0321,0
52,2,0.0322,0
52,3,0.0321,0
52,4,0.0322,0
52,5,0.0322,0
52,6,0.0322,0
52,7,0.0323,0
52,8,0.0322,0
52,9,0.0321,0
52,10,0.0322,0
52,11,0.0321,0
52,12,0.0322,0
52,14,0.0324,0
52,15,0.0322,0
52,16,0.0321,0
52,17,0.0322,0
52,18,0.0321,0
52,19,0.0321,0
